employee_id,month,basic_pay,deductions,net_pay
46,2024-12,81644.73,8116.7,73528.03
53,2023-07,92866.83,2290.79,90576.04
72,2023-01,22378.24,4047.12,18331.12
90,2024-05,35804.79,7733.09,28071.7
8,2025-11,67311.4,3485.5,63825.9
4,2025-08,87963.71,7429.35,80534.36
38,2024-07,49098.56,7013.1,42085.46
40,2024-02,25705.19,5051.26,20653.93
50,2023-10,87448.88,7320.33,80128.55
11,2023-06,32612.39,8305.25,24307.14
59,2024-07,91314.58,2663.26,88651.32
57,2023-07,66921.27,8851.66,58069.61
98,2025-06,66306.79,2838.43,63468.36
66,2025-02,39064.43,6359.01,32705.42
77,2025-08,68123.62,5728.03,62395.59
96,2025-07,82111.8,6616.53,75495.27
51,2025-05,77733.69,5603.83,72129.86
24,2025-10,70734.41,1027.96,69706.45
85,2024-10,33659.8,3811.3,29848.5
9,2025-04,73291.64,3571.76,69719.88
52,2025-03,74421.86,6862.57,67559.29
19,2024-02,43282.41,9458.73,33823.68
100,2023-10,67787.43,8148.88,59638.55
7,2024-05,29623.06,1717.11,27905.95
81,2025-03,91957.79,4664.9,87292.89
82,2023-12,53834.68,9175.6,44659.08
65,2024-03,70469.3,2301.09,68168.21
97,2023-02,31069.98,8433.24,22636.74
94,2025-08,84070.02,4131.9,79938.12
55,2023-09,32769.34,9670.28,23099.06
8,2023-09,29872.37,5238.91,24633.46
20,2025-07,99734.36,4550.42,95183.94
5,2023-04,34111.17,8997.54,25113.63
88,2025-11,30088.68,2289.09,27799.59
85,2023-04,32317.65,2641.85,29675.8
63,2025-11,40051.21,5365.54,34685.67
75,2024-03,98807.26,3458.4,95348.86
89,2025-01,28548.48,1280.64,27267.84
93,2023-08,87194.81,2335.67,84859.14
82,2023-07,24643.98,4869.63,19774.35
20,2024-08,65850.53,9608.21,56242.32
14,2024-06,56037.43,9082.63,46954.8
77,2025-03,56634.53,3157.35,53477.18
53,2023-12,77555.91,9359.74,68196.17
21,2023-05,90428.54,8123.01,82305.53
35,2025-02,87794.7,3210.07,84584.63
26,2024-07,88871.01,4101.22,84769.79
81,2023-10,44486.63,5116.78,39369.85
21,2024-02,75073.88,4260.42,70813.46
27,2024-03,47720.87,5725.06,41995.81
85,2025-08,32252.14,9484.38,22767.76
27,2024-08,31092.57,7993.08,23099.49
91,2025-10,93969.06,6459.85,87509.21
59,2024-09,60653.89,5215.6,55438.29
33,2025-05,66917.0,5739.12,61177.88
56,2024-04,66673.3,7373.38,59299.92
77,2024-04,91091.21,4870.62,86220.59
76,2024-04,68175.56,4039.59,64135.97
8,2023-01,59024.58,8483.67,50540.91
23,2023-08,65202.26,8746.55,56455.71
11,2023-09,96762.1,2132.45,94629.65
17,2025-02,25557.92,6802.0,18755.92
31,2025-03,98103.13,5436.91,92666.22
86,2023-05,78528.36,5082.51,73445.85
27,2025-11,47971.23,2441.53,45529.7
53,2024-07,26145.04,1348.06,24796.98
30,2025-01,94661.05,3399.16,91261.89
26,2023-07,97155.41,6369.71,90785.7
63,2023-11,20865.73,1645.84,19219.89
78,2023-11,82029.81,9521.18,72508.63
44,2025-12,56302.31,8790.8,47511.51
5,2024-08,90566.35,2365.48,88200.87
42,2024-08,20208.58,1172.99,19035.59
9,2025-03,74286.25,3632.47,70653.78
50,2024-03,33578.2,4639.43,28938.77
58,2023-12,63014.63,6746.31,56268.32
90,2024-06,24398.1,5476.43,18921.67
63,2025-07,26379.26,9670.48,16708.78
66,2023-09,96699.9,9999.22,86700.68
6,2023-07,29419.98,4871.56,24548.42
25,2025-10,72809.36,7657.44,65151.92
80,2025-08,52550.71,8431.45,44119.26
69,2024-05,88059.56,9301.58,78757.98
95,2024-02,44650.57,8723.07,35927.5
84,2023-02,32634.46,3479.46,29155.0
5,2023-07,64446.87,7330.78,57116.09
7,2024-11,35875.65,4297.54,31578.11
45,2025-11,86978.59,5059.63,81918.96
37,2025-06,83037.57,8087.5,74950.07
89,2025-06,26404.65,1669.17,24735.48
65,2025-04,40176.34,6892.45,33283.89
40,2024-03,84969.05,1265.98,83703.07
14,2023-08,65410.45,1016.53,64393.92
5,2025-04,55345.74,9109.16,46236.58
71,2025-06,50228.16,2199.38,48028.78
99,2023-12,79643.57,1288.88,78354.69
62,2024-07,24264.02,6792.14,17471.88
40,2023-10,29897.14,6627.58,23269.56
91,2025-09,87670.34,9336.66,78333.68
96,2023-03,72473.09,1491.42,70981.67
